🇨🇳电视频道,#genre#
北京纪实科教,http://127.0.0.1/itv/1000000005000265020.m3u8?cdn=ystenlive
北京卡酷少儿,http://127.0.0.1/itv/7851974109718180595.m3u8?cdn=bestzb
安徽卫视,http://127.0.0.1/itv/1000000001000030159.m3u8?cdn=ystenlive
安徽卫视,http://127.0.0.1/itv/6000000001000009954.m3u8?cdn=wasusyt
安徽卫视,http://127.0.0.1/itv/1000000005000265025.m3u8?cdn=ystenlive
东南卫视,http://127.0.0.1/itv/5000000004000010584.m3u8?cdn=bestzb
东南卫视,http://127.0.0.1/itv/1000000005000265033.m3u8?cdn=ystenlive
甘肃卫视,http://127.0.0.1/itv/5000000011000031121.m3u8?cdn=bestzb
广东卫视,http://127.0.0.1/itv/1000000001000014176.m3u8?cdn=ystenlive
广东卫视,http://127.0.0.1/itv/6000000001000031076.m3u8?cdn=wasusyt
广东卫视,http://127.0.0.1/itv/1000000005000265034.m3u8?cdn=ystenlive
广西卫视,http://127.0.0.1/itv/5000000011000031118.m3u8?cdn=bestzb
河北经济,http://tv.pull.hebtv.com/jishi/jingjishenghuo.m3u8?t=2510710360&k=878ace626abc063571a3ddff9ec396a3
河北经济,http://tv.pull.hebtv.com/jishi/jingjishenghuo.flv?t=2510710360&k=fa8a788d96df5d75e67186f6b6864b40
河北经济,rtmp://tv.pull.hebtv.com/jishi/jingjishenghuo?t=2510710360&k=40e221dfe1145000d2b17dfbec914ce7
贵州卫视,http://127.0.0.1/itv/5000000004000025843.m3u8?cdn=bestzb
海南卫视,http://127.0.0.1/itv/5000000004000006211.m3u8?cdn=bestzb
河北卫视,http://127.0.0.1/itv/5000000006000040016.m3u8?cdn=bestzb
河南卫视,http://127.0.0.1/itv/5000000011000031119.m3u8?cdn=bestzb
黑龙江卫视,http://127.0.0.1/itv/1000000001000001925.m3u8?cdn=ystenlive
黑龙江卫视,http://127.0.0.1/itv/6000000001000016510.m3u8?cdn=wasusyt
黑龙江卫视,http://127.0.0.1/itv/1000000005000265029.m3u8?cdn=ystenlive
湖北卫视,http://127.0.0.1/itv/1000000001000024621.m3u8?cdn=ystenlive
湖北卫视,http://127.0.0.1/itv/6000000001000015436.m3u8?cdn=wasusyt
湖北卫视,http://127.0.0.1/itv/1000000005000265023.m3u8?cdn=ystenlive
湖南卫视,http://127.0.0.1/itv/5000000004000006692.m3u8?cdn=bestzb
湖南卫视,http://127.0.0.1/itv/6000000001000018044.m3u8?cdn=wasusyt
湖南卫视,http://127.0.0.1/itv/1000000005000265024.m3u8?cdn=ystenlive
湖南金鹰纪实,http://127.0.0.1/itv/5000000011000031203.m3u8?cdn=bestzb
湖南快乐垂钓,http://127.0.0.1/itv/5000000011000031206.m3u8?cdn=bestzb
湖南茶频道,http://127.0.0.1/itv/5000000011000031209.m3u8?cdn=bestzb
吉林卫视,http://127.0.0.1/itv/5000000011000031117.m3u8?cdn=bestzb
江苏卫视,http://127.0.0.1/itv/6000000001000014861.m3u8?cdn=wasusyt
江苏卫视,http://127.0.0.1/itv/1000000001000001828.m3u8?cdn=ystenlive
江苏卫视,http://127.0.0.1/itv/1000000005000265030.m3u8?cdn=ystenlive
江西卫视,http://127.0.0.1/itv/1000000006000268001.m3u8?cdn=ystenlive
江西卫视,http://127.0.0.1/itv/1000000005000265032.m3u8?cdn=ystenlive
辽宁卫视,http://127.0.0.1/itv/5000000004000011671.m3u8?cdn=bestzb
辽宁卫视,http://127.0.0.1/itv/1000000005000265022.m3u8?cdn=ystenlive
青海卫视,http://127.0.0.1/itv/1000000002000013359.m3u8?cdn=ystenlive
山东卫视,http://127.0.0.1/itv/1000000001000016568.m3u8?cdn=ystenlive
山东卫视,http://127.0.0.1/itv/6000000001000004134.m3u8?cdn=wasusyt
山东卫视,http://127.0.0.1/itv/1000000005000265019.m3u8?cdn=ystenlive
上海东方卫视,http://127.0.0.1/itv/6000000001000003639.m3u8?cdn=wasusyt
